Address,Allocation%,Points
0x020e1c3d5a0cfe235acc53ccbca2ea53d5964cb1,0.33%,20
0x029df4209e87663493725c70bDBd03E97d5B7c4B,0.33%,20
0x058d83Fc1b71D19046B7164b3d751E61C89cBB65,0.33%,20
0x07Ed3E8e3Ce42087e825011c316e17f0051CC983,0.33%,20
0x08Ec41FDcb5F9cD49a2a9d76bBEEf952A5d5739d,0.33%,20
0x097bA4a0dD30C3ad9Fa01D3Cafa17503Ffa7aa57,0.33%,20
0x098915E7F9a03d9d452a642f33a650430aE18c79,0.33%,20
0x0b4a54808c8d6847fec5f0107e490aac81aa25ec,0.33%,20
0x0BA2284AaFAeD001a416B1d8955DDDddC9fF25D8,0.33%,20
0x0C6293473E571954444F0B248CA75Cf48E60c13c,0.33%,20
0x0d589fe6064956D49f0F9ec4Fc89dbdf36Db9362,0.33%,20
0x0df506a50efd7880aaa69238af93195c4835105d,0.33%,20
0x0eb0ddfb4350bae7435acd27504926204235a9de,0.33%,20
0x10E4De14Fbd0F71665d05336eA9b74B4c59b56b3,0.33%,20
0x1506bF1b4979B3cC94C979878E6661A31Af004B3,0.33%,20
0x18A428CE0c31584a21CF8ceFDb8849d8013E1994,0.33%,20
0x19b97B896C241Fc39852b1BC0EdE5364a5B011f7,0.33%,20
0x1eB4F5aE6E14F6376b7175656994F58ceA565C0d,0.33%,20
0x21870F819B873b2F7e424AAf84effe49fC9e0012,0.33%,20
0x22A86031F028d7bE4481e0333297be42ff016b0b,0.33%,20
0x2897c1c2a96d4bfd6a8B5465785cAc27b9a333A4,0.33%,20
0x28baDd4C4603D3FFda223FFf00cDf695402ee4dE,0.33%,20
0x2a0943057a4414D481742ABb46709d61e162f62E,0.33%,20
0x2B13A9A626aC6F12F9b7047C4a6Cb0f504194a01,0.33%,20
0x2Bc3F2DfB85f03D38a252860fDb28466b4cfB74E,0.33%,20
0x2c9BfaBA04846BB016C62F5103F6a89eD9ecD860,0.33%,20
0x2FabCd57fFc29648A1A2B36bF373220826f27EF3,0.33%,20
0x30dc326C44a2e64fbE5a86FBC756d3f51A79f43C,0.33%,20
0x330088cC40d2099e834674EaC709090b48111803,0.33%,20
0x3511d7ea1878e19A15ad86b93cEFB8Bd57bFDE98,0.33%,20
0x37c1322D68734D011adeaCE6Ad39610cc231bc86,0.33%,20
0x3ae28806DB12a927F122e8dB41663f1678374D94,0.33%,20
0x3f0de8a98fda8aa8a59d0e9ed303c7c1bd505cde,0.33%,20
0x3f286cC85F53d1fb7Fe9Ada4Abd030f01ee45228,0.33%,20
0x4109266acaC7Bc28c754884920b059E016DDAf41,0.33%,20
0x42346678Db8Af1aea362A80cE1E26BA6ea1b51Bc,0.33%,20
0x42742954F391a2FdAc26340f32eC18b1BD019C68,0.33%,20
0x42ef3aaa63b47e406a26a0351c933b6025d7f6de,0.33%,20
0x47CDDFBc26Da2dF3b10F360b32c52A33e309023d,0.33%,20
0x48844957C812Efb3c3CEc316ab6389d689EF8A55,0.33%,20
0x49b14190107247c50d752f7c7697607735d89c5c,0.33%,20
0x4bb96FC7F7E5064Aa78c992028EC963EB500f7B8,0.33%,20
0x4D234519EEFb6BEcA8Dd7d192939bB218218DB00,0.33%,20
0x4D6fF9dB3dCe4326B06193A008bb282E856D9180,0.33%,20
0x50029651Fa8824B3A49B739a275c229D908D66aC,0.33%,20
0x5014FA8A46A418038bfe302791c00819Ace04Cd6,0.33%,20
0x52ce74F87Ef0878988F73d46650Ce481E14F8903,0.33%,20
0x5488481940f93b28b84965B8F65B4CfCce43d2D1,0.33%,20
0x5a61bC171CEaA39cB84d00bEE28a5806d0165ec2,0.33%,20
0x5A69209542697fD0f5Fc00e198fB092797bbDba4,0.33%,20
0x6D60200794298B98324Dd38D15e9710DC5B04C89,0.33%,20
0x6fEFe14eBb317E01544A38e8defeD9Eaa2CD05C3,0.33%,20
0x71d6241DB8EA54c85A5CE5bdDae631E23867cc0D,0.33%,20
0x71DC4E763DAAD3386C1A1428AE34f488FcB8d67b,0.33%,20
0x8440Ae39031842051313b2b8D4dC6bDE1F031EF0,0.33%,20
0x87cf2DD460bE20555be5fE0910C988D27D7c48f8,0.33%,20
0x886243BAC92E190dE060e80aF1fff2A1919f07bf,0.33%,20
0x8A3f6961F4894e41E37a27A4d9A2d3B73faC0CF5,0.33%,20
0x8bed476468be8f421c39a6fd21fca94187bfd670,0.33%,20
0x8F19A9CCe6D4Bd5371dE0cA1d82A5C18a32327F1,0.33%,20
0x9168a80AF210c511e4BE5b32d7de75124D0a4996,0.33%,20
0x919A957A54d0688690722bfD3AD4E71b030FD6FB,0.33%,20
0x955bc07C7B45633841228bB60621f1C98Bc17e7C,0.33%,20
0x985382084419D84A0324f5825c64D919Fed1CCd8,0.33%,20
0xa2Ce8Bb4d2b018eD0F807aDc835cb8100BAeb9BD,0.33%,20
0xA3B583470A53aeb2848d9b24D0f385Be40CfA127,0.33%,20
0xa669a107CE241629DFe07Dc285C9807B6Cc59ba1,0.33%,20
0xa7530577983e2A1bcbd094EdEe034586efC65eC9,0.33%,20
0xAB0CB39f1459b71fb92A52a65c30B215390d3A2E,0.33%,20
0xB016f2BdB728E25a210C6948a9E1a4E586CEAf5B,0.33%,20
0xb0acA5c69CA0054F92EF49E89b4ed590391796b6,0.33%,20
0xb2531ECcF7dFD65e064600b8e52D05348720254D,0.33%,20
0xb2d9608276f98836936619d3eef78f42ed6b252e,0.33%,20
0xb3421655dcB3512b7c8Bb4aBbbF2c36765E649CC,0.33%,20
0xb57660AF3B39Cdd42fD9661600130b6d1F4C07e3,0.33%,20
0xb696d48ef52670cDfC719259d0E1BFf994bCaBDE,0.33%,20
0xBd4D9E279eabe2d5635058c9Ccf1a8ceB5b002D2,0.33%,20
0xc0ba107aF49C6A7B03282955C1C3b5a90D6B2587,0.33%,20
0xc117F8A5fb540298D5b0307933590994350Ccd34,0.33%,20
0xc81406B0aa2f73B763b71163a6472950eb65Ac96,0.33%,20
0xC9673C828e733E6A31181AF7e19ECd26E5D09C9e,0.33%,20
0xC9D15F4E6f1b37CbF0E8068Ff84B5282edEF9707,0.33%,20
0xcB45CfD138E31601601F3D5b2c0e44B340dD6864,0.33%,20
0xcbd71ef9dc390b79594d17e07000d164a9457700,0.33%,20
0xCdE3179FebA540946D5C1E50a15dE2848643b3D0,0.33%,20
0xcE0c2Db73DA16F7006a921adD1C9692b15c0CC73,0.33%,20
0xcec771b3ab9204c4eb0b731111658e7c8ba539cf,0.33%,20
0xCef87676b7dFD1538e8C0dA209Af820dd057374E,0.33%,20
0xCF7c374b1BAe7eBdeC59Ac82fff4847C17b0acce,0.33%,20
0xd02df454EeBf85278b3C257EBC880709DC5e96Ce,0.33%,20
0xd4083F91d0ac928961c009547F76340BBa56b40f,0.33%,20
0xD481070E6d9834b903125b89093e3B922dD869a7,0.33%,20
0xD5BB8081977fB95355eAE4f838181D262a5fCCE3,0.33%,20
0xD9012a2153f08c0a97bc4916782BfdF174bb9E9D,0.33%,20
0xD9977af42CFC536B18A58C812f667528eD1Cb62a,0.33%,20
0xde489c8E2eaF76f09944aBF8B9B62132e69d4A00,0.33%,20
0xDEc626061A0869A8D853e49dED9622fEe7F0a8d5,0.33%,20
0xe21c2081b6b23c4b00496fa19457b9d53e345e7c,0.33%,20
0xE31959882E951c2895c0fD0f1d28215CA917AA8A,0.33%,20
0xe58e19764395cBfE01B612a2327087b77c873396,0.33%,20
0xE76f1230c61160206306CB55e524d5843bAD697a,0.33%,20
0xe98633Fb41aBb944FC20EB8Ddc017128f6d01Cb4,0.33%,20
0xEa2f996AFFA4F941f92FC7bfBf9973fEA252F0e2,0.33%,20
0xEa8fd9cF879CbBa20c135b26950B9045B4bfDB53,0.33%,20
0xeac8a349d0b56797c1e5B2517C9c660A140f07F3,0.33%,20
0xeB17b18D1C1503E6F090fc15C2318903d0A906f2,0.33%,20
0xEb2A0fC8B8A61D7495540874D032182BBe200FF3,0.33%,20
0xed6208d73f99d423355b85067f8c4ddc6a78c0d1,0.33%,20
0xf1579FD5Bb13D32b95D0Aa03D59cF23a30C1D151,0.33%,20
0xf227a52d0BbA36F1eab180E85E018aDB42a84b78,0.33%,20
0xF3E36e557A325AF44aCc5834759055819e22Aece,0.33%,20
0xf3EAB2365c8689D7d429e9Cf03C78b29F07907b1,0.33%,20
0xF43E8233849aC9E66Bb183a66a5F060af0BC47D4,0.33%,20
0xf53D2a27FF7DA3f60F6a41Cdcb7acB0eBCc8c094,0.33%,20
0xfce29c4fdFB76AE6211e8A8Ff8A352eEBFd4F3Ef,0.33%,20
0xfDD232bB32451d1e91c8bb0503d2664b452bAf68,0.33%,20
0xffB5999828236e2fEC8Cfe4d24845eFCC608a49C,0.33%,20
0xD070eDEF4e2A3b3ea5037bc234c9e2111B84AaAB,0.33%,20
0xbCC081a2F328Bab400dD8D1529aD79764AC17C3f,0.33%,20
0x70b928900E9e853d2d6BEF4998a74133aE7fc888,0.33%,20
0xa4E69790114290491957419D6174f459348a1157,0.33%,20
0x317F7aA365570F3105a6725Ffb647069507f6408,0.33%,20
0xB76664E56f499f2435Fd6C55c095464B62204185,0.33%,20
0x00a0e856dF6dB7E94099A8b0205A14ee6ECbeD5E,0.17%,10
0x0101EaEE8D0013234C32936963FF504a9954220B,0.17%,10
0x04b6eA5a19b8945eDdC4A141408ec34C2A55a34e,0.17%,10
0x059F07Ab96e4E66BE2953dFA91af15Ed1E99839B,0.17%,10
0x06330A0dCB4729e90186d7875b7f7f0824971d3E,0.17%,10
0x08471F1fBd6614254AA360c82D40D49D014710A4,0.17%,10
0x0895B09824d0c7E663C32703aC8c0Db9bffedF8B,0.17%,10
0x08C95Af785D10EC7Ff67CfE57e69E36cC25cB83A,0.17%,10
0x08f4D9A058f684382AeBCf9B18e070C139b00c9a,0.17%,10
0x0b9ed3C644cf840a7F4cA473c07838a373a02892,0.17%,10
0x0c8c1fa0CCAa418955c3A98dE004D6D9a88E8983,0.17%,10
0x0F9f624E31618Db861FAB3E03C5c0Ab994956Ab4,0.17%,10
0x0Fc69c0b2739d1dDd58dE4ba51F3bAD42E6e6bF4,0.17%,10
0x1017378c6241e8d83bd9be29644f7085b69dd0f3,0.17%,10
0x11eA9589d8ad2f6D48B340b82148b6d96a6729e9,0.17%,10
0x15542587C265f804E2579D30b83b261A6A717Fd9,0.17%,10
0x1573d87ADCF270cA07c4d6800D2910D6caaae9eA,0.17%,10
0x164D15c66c48475E2c36eee0F6c154E326EEec0b,0.17%,10
0x16af152145aeB1C7f9411C1CA5c36423D9A0D863,0.17%,10
0x181C27b57bC055655BFbAACB5614e924E1AF15A5,0.17%,10
0x1a13975b89fB2E19a6c35Ee38E22c9EFacc837De,0.17%,10
0x2079e0bD4746e8f681Cb461F85158D3292D5c9fC,0.17%,10
0x20c6F73a8f39Cba0597B8bBA1073cD515e4D7Edf,0.17%,10
0x22819218E59D99769D3B0650880e77e8E007E222,0.17%,10
0x23124959db7bad674fd907105874bf696abb2750,0.17%,10
0x24e03eC5F472eC1d7f1FAa8106A24e1638D77D10,0.17%,10
0x2640826db83E38aDCE2083D1F7cCCC5eBBC601F3,0.17%,10
0x269A1560abAaD3C249bc2Db78d172e84a48dA3DE,0.17%,10
0x272e1bFb0d4489A3Bd952CCF63E4C3F52982f91F,0.17%,10
0x288a5854688C1eE5fBb2959afBb6F07fF29C6b7f,0.17%,10
0x299016dD4bB67E0dB8Dc67fF26f0c3c95966Ec1D,0.17%,10
0x29d25f171EDfD17B5bB0b66628fB5286b7D29aea,0.17%,10
0x29f3934c71b5a4771b59c910ffa41287a64c4291,0.17%,10
0x2b73Cf1cEa5C68f4d982AeF0c858f15FF4119e2e,0.17%,10
0x2B96749Daa7f8219198f89bF802D5f69c90c0110,0.17%,10
0x2d351b3E7744d72660A77301cFbe71D9E4fa5044,0.17%,10
0x2DCeE554314d55CD93e7A9CDB22D07c0a51b4288,0.17%,10
0x2F930C48319A3f6AEf8a50587C5dDb7c40421383,0.17%,10
0x2ff5E61e40deE544c6F510a9928fb657C88C8516,0.17%,10
0x30ff664d5d4cf8e04c2ac1ee9f628e0e21878731,0.17%,10
0x315F355D2af7c844824459B60C570ccd4D28059A,0.17%,10
0x3217871b96dd022200340c194face4ab239705a0,0.17%,10
0x329a439Dc9ee46a8fb4A3F4a84aAc9d6F5277950,0.17%,10
0x36F50C8c7E5c8c59ABe5e5d1202B3eA4A7c859ef,0.17%,10
0x3723a3C595cbb47EaD3FB744b4eB90C2fa3371E9,0.17%,10
0x38B3D4B560825d42f8eD4c8eBBD41a849223C334,0.17%,10
0x3a68e7285857030C7bac691E18cB3DcfB7AB5031,0.17%,10
0x3Af99B245330E231Ce32C2B22B4aD45bc27e18cb,0.17%,10
0x3C801688980C1EAC1CF3ca9Ae3DC092dE29BC3Ab,0.17%,10
0x3cf36914EcC5Cbb2EdD1A51f88a9804F9D410b89,0.17%,10
0x3d435ff1e607a0cc2818ad272e7a7a678be81a0c,0.17%,10
0x3daddac5e7c1afa3f61de908a6094b549d2d3a8c,0.17%,10
0x3E1dCCDF07a014441178F1749dD14dc9160a87E6,0.17%,10
0x405608Bb4cA8bB1B3F8B7899Af815E4e3aDB068A,0.17%,10
0x4477544A455DD16a63D097B966a25F72978a8b79,0.17%,10
0x448811Ca2806a04AC3d1f356537dACC4D03AEE87,0.17%,10
0x44Df14477E3bc96F3d9eB2Bb970d7d1e65a55DE3,0.17%,10
0x457b2af50140d790d93396afb24f61ba9844520c,0.17%,10
0x45d06E16f5A52Cc85561D1C05704094cDc775508,0.17%,10
